date,s,shibor
42898.00 ,2.51 ,4.78 
42899.00 ,2.51 ,4.78 
42900.00 ,2.48 ,4.78 
42901.00 ,2.47 ,4.77 
42902.00 ,2.46 ,4.76 
42905.00 ,2.50 ,4.75 
42906.00 ,2.48 ,4.71 
42907.00 ,2.51 ,4.69 
42908.00 ,2.52 ,4.65 
42909.00 ,2.54 ,4.63 
42912.00 ,2.55 ,4.61 
42913.00 ,2.56 ,4.58 
42914.00 ,2.55 ,4.55 
42915.00 ,2.57 ,4.52 
42916.00 ,2.56 ,4.50 
42919.00 ,2.54 ,4.49 
42920.00 ,2.52 ,4.46 
42921.00 ,2.56 ,4.43 
42922.00 ,2.57 ,4.39 
42923.00 ,2.56 ,4.36 
42926.00 ,2.58 ,4.34 
42927.00 ,2.60 ,4.32 
42928.00 ,2.60 ,4.31 
42929.00 ,2.64 ,4.29 
42930.00 ,2.67 ,4.28 
42933.00 ,2.67 ,4.27 
42934.00 ,2.66 ,4.27 
42935.00 ,2.70 ,4.26 
42936.00 ,2.71 ,4.26 
42937.00 ,2.68 ,4.26 
42940.00 ,2.70 ,4.26 
42941.00 ,2.68 ,4.25 
42942.00 ,2.68 ,4.25 
42943.00 ,2.68 ,4.25 
42944.00 ,2.68 ,4.25 
42947.00 ,2.68 ,4.26 
42948.00 ,2.72 ,4.26 
42949.00 ,2.73 ,4.27 
42950.00 ,2.69 ,4.27 
42951.00 ,2.67 ,4.27 
42954.00 ,2.68 ,4.27 
42955.00 ,2.68 ,4.27 
42956.00 ,2.66 ,4.28 
42957.00 ,2.66 ,4.29 
42958.00 ,2.61 ,4.30 
42961.00 ,2.64 ,4.31 
42962.00 ,2.65 ,4.33 
42963.00 ,2.64 ,4.34 
42964.00 ,2.65 ,4.34 
42965.00 ,2.66 ,4.34 
42968.00 ,2.66 ,4.35 
42969.00 ,2.69 ,4.35 
42970.00 ,2.71 ,4.36 
42971.00 ,2.70 ,4.36 
42972.00 ,2.76 ,4.37 
42975.00 ,2.79 ,4.37 
42976.00 ,2.79 ,4.38 
42977.00 ,2.77 ,4.39 
42978.00 ,2.77 ,4.37 
42979.00 ,2.76 ,4.37 
42982.00 ,2.76 ,4.40 
42983.00 ,2.78 ,4.42 
42984.00 ,2.76 ,4.43 
42985.00 ,2.74 ,4.43 
42986.00 ,2.74 ,4.43 
42989.00 ,2.73 ,4.40 
42990.00 ,2.75 ,4.38 
42991.00 ,2.74 ,4.37 
42992.00 ,2.72 ,4.37 
42993.00 ,2.72 ,4.36 
42996.00 ,2.73 ,4.36 
42997.00 ,2.72 ,4.36 
42998.00 ,2.72 ,4.37 
42999.00 ,2.73 ,4.37 
43000.00 ,2.73 ,4.36 
43003.00 ,2.73 ,4.36 
43004.00 ,2.73 ,4.36 
43005.00 ,2.71 ,4.36 
43006.00 ,2.72 ,4.36 
43007.00 ,2.73 ,4.36 
43017.00 ,2.75 ,4.35 
43018.00 ,2.75 ,4.35 
43019.00 ,2.76 ,4.36 
43020.00 ,2.77 ,4.36 
43021.00 ,2.77 ,4.36 
43024.00 ,2.78 ,4.37 
43025.00 ,2.78 ,4.37 
43026.00 ,2.80 ,4.37 
43027.00 ,2.81 ,4.37 
43028.00 ,2.79 ,4.38 
43031.00 ,2.79 ,4.38 
43032.00 ,2.81 ,4.38 
43033.00 ,2.80 ,4.38 
43034.00 ,2.83 ,4.38 
43035.00 ,2.87 ,4.39 
43038.00 ,2.86 ,4.39 
43039.00 ,2.85 ,4.40 
43040.00 ,2.84 ,4.41 
43041.00 ,2.85 ,4.41 
43042.00 ,2.85 ,4.42 
43045.00 ,2.84 ,4.43 
43046.00 ,2.88 ,4.43 
43047.00 ,2.87 ,4.44 
43048.00 ,2.89 ,4.46 
43049.00 ,2.92 ,4.47 
43052.00 ,2.93 ,4.52 
43053.00 ,2.91 ,4.53 
43054.00 ,2.90 ,4.55 
43055.00 ,2.93 ,4.57 
43056.00 ,2.99 ,4.60 
43059.00 ,3.00 ,4.62 
43060.00 ,3.05 ,4.62 
43061.00 ,3.07 ,4.64 
43062.00 ,2.99 ,4.65 
43063.00 ,2.99 ,4.67 
43066.00 ,2.97 ,4.71 
43067.00 ,2.90 ,4.73 
43068.00 ,2.89 ,4.74 
43069.00 ,2.86 ,4.76 
43070.00 ,2.84 ,4.76 
43073.00 ,2.86 ,4.78 
43074.00 ,2.91 ,4.79 
43075.00 ,2.87 ,4.78 
43076.00 ,2.84 ,4.79 
43077.00 ,2.87 ,4.79 
43080.00 ,2.90 ,4.80 
43081.00 ,2.85 ,4.80 
43082.00 ,2.87 ,4.80 
43083.00 ,2.85 ,4.81 
43084.00 ,2.82 ,4.82 
43087.00 ,2.83 ,4.83 
43088.00 ,2.87 ,4.84 
43089.00 ,2.88 ,4.86 
43090.00 ,2.89 ,4.87 
43091.00 ,2.88 ,4.89 
43094.00 ,2.88 ,4.91 
43095.00 ,2.89 ,4.91 
43096.00 ,2.83 ,4.91 
43097.00 ,2.86 ,4.91 
43098.00 ,2.86 ,4.91 
43102.00 ,2.91 ,4.80 
43103.00 ,2.91 ,4.73 
43104.00 ,2.92 ,4.69 
43105.00 ,2.93 ,4.66 
43108.00 ,2.94 ,4.66 
43109.00 ,2.97 ,4.66 
43110.00 ,2.99 ,4.66 
43111.00 ,2.99 ,4.67 
43112.00 ,3.02 ,4.68 
43115.00 ,3.04 ,4.68 
43116.00 ,3.06 ,4.68 
43117.00 ,3.07 ,4.69 
43118.00 ,3.11 ,4.70 
43119.00 ,3.11 ,4.71 
43122.00 ,3.13 ,4.71 
43123.00 ,3.17 ,4.72 
43124.00 ,3.17 ,4.73 
43125.00 ,3.15 ,4.73 
43126.00 ,3.17 ,4.73 
43129.00 ,3.11 ,4.73 
43130.00 ,3.08 ,4.73 
43131.00 ,3.11 ,4.73 
43132.00 ,3.13 ,4.73 
43133.00 ,3.15 ,4.73 
43136.00 ,3.18 ,4.73 
43137.00 ,3.11 ,4.72 
43138.00 ,3.02 ,4.71 
43139.00 ,2.94 ,4.70 
43140.00 ,2.80 ,4.69 
43143.00 ,2.80 ,4.70 
43144.00 ,2.85 ,4.70 
43145.00 ,2.87 ,4.70 
43153.00 ,2.93 ,4.71 
43154.00 ,2.96 ,4.71 
43157.00 ,2.97 ,4.71 
43158.00 ,2.92 ,4.71 
43159.00 ,2.87 ,4.71 
43160.00 ,2.88 ,4.72 
43161.00 ,2.86 ,4.72 
43164.00 ,2.86 ,4.72 
43165.00 ,2.89 ,4.73 
43166.00 ,2.87 ,4.74 
43167.00 ,2.89 ,4.74 
43168.00 ,2.90 ,4.74 
43171.00 ,2.91 ,4.74 
43172.00 ,2.87 ,4.73 
43173.00 ,2.86 ,4.72 
43174.00 ,2.89 ,4.71 
43175.00 ,2.86 ,4.71 
43178.00 ,2.89 ,4.70 
43179.00 ,2.90 ,4.69 
43180.00 ,2.88 ,4.68 
43181.00 ,2.86 ,4.66 
43182.00 ,2.78 ,4.65 
43185.00 ,2.73 ,4.64 
43186.00 ,2.74 ,4.62 
43187.00 ,2.69 ,4.62 
43188.00 ,2.73 ,4.52 
43189.00 ,2.71 ,4.46 
43192.00 ,2.70 ,4.41 
43193.00 ,2.69 ,4.35 
43194.00 ,2.69 ,4.31 
43199.00 ,2.71 ,4.26 
43200.00 ,2.78 ,4.23 
43201.00 ,2.78 ,4.21 
43202.00 ,2.74 ,4.20 
43203.00 ,2.72 ,4.18 
43206.00 ,2.66 ,4.17 
43207.00 ,2.63 ,4.17 
43208.00 ,2.64 ,4.10 
43209.00 ,2.68 ,4.05 
43210.00 ,2.64 ,4.02 
43213.00 ,2.66 ,4.00 
43214.00 ,2.72 ,3.99 
43215.00 ,2.69 ,3.98 
43216.00 ,2.66 ,3.99 
43217.00 ,2.64 ,4.01 
43222.00 ,2.65 ,4.00 
43223.00 ,2.65 ,3.99 
43224.00 ,2.63 ,3.99 
43227.00 ,2.67 ,3.99 
43228.00 ,2.71 ,4.00 
43229.00 ,2.71 ,4.01 
43230.00 ,2.72 ,4.03 
43231.00 ,2.72 ,4.05 
43234.00 ,2.75 ,4.06 
43235.00 ,2.74 ,4.07 
43236.00 ,2.71 ,4.08 
43237.00 ,2.69 ,4.10 
43238.00 ,2.73 ,4.15 
43241.00 ,2.74 ,4.15 
43242.00 ,2.72 ,4.16 
43243.00 ,2.67 ,4.17 
43244.00 ,2.66 ,4.19 
43245.00 ,2.65 ,4.22 
43248.00 ,2.67 ,4.24 
43249.00 ,2.66 ,4.28 
43250.00 ,2.60 ,4.31 
43251.00 ,2.65 ,4.33 
43252.00 ,2.64 ,4.34 
43255.00 ,2.69 ,4.34 
43256.00 ,2.70 ,4.35 
43257.00 ,2.69 ,4.35 
43258.00 ,2.69 ,4.35 
43259.00 ,2.65 ,4.35 
43262.00 ,2.66 ,4.35 
43263.00 ,2.69 ,4.35 
